iter	Passed	Remaining
0	74	59585
1	162	64732
2	250	66468
3	323	64313
4	343	54614
5	362	47959
6	447	50663
7	455	45052
8	534	46948
9	561	44378
10	629	45144
11	648	42615
12	723	43813
13	772	43355
14	809	42380
15	887	43500
16	971	44749
17	1052	45720
18	1162	47778
19	1186	46275
20	1338	49641
21	1460	51646
22	1554	52498
23	1646	53223
24	1693	52485
25	1783	53079
26	1806	51716
27	1897	52311
28	1993	52988
29	2081	53418
30	2179	54066
31	2262	54299
32	2357	54801
33	2457	55369
34	2527	55243
35	2616	55517
36	2712	55934
37	2801	56178
38	2892	56448
39	2988	56778
40	3092	57254
41	3184	57472
42	3272	57613
43	3283	56417
44	3383	56760
45	3473	56941
46	3501	56091
47	3588	56227
48	3683	56450
49	3767	56508
50	3868	56816
51	3956	56913
52	4063	57276
53	4171	57626
54	4264	57761
55	4362	57963
56	4452	58043
57	4467	57155
58	4499	56507
59	4595	56672
60	4618	55947
61	4689	55824
62	4775	55871
63	4863	55934
64	4966	56159
65	5058	56252
66	5095	55749
67	5184	55813
68	5281	55956
69	5376	56064
70	5458	56046
71	5555	56175
72	5649	56267
73	5753	56451
74	5837	56431
75	5929	56489
76	6024	56563
77	6121	56662
78	6223	56798
79	6237	56139
80	6328	56171
81	6384	55901
82	6476	55947
83	6576	56053
84	6666	56076
85	6755	56090
86	6848	56128
87	6943	56176
88	7038	56228
89	7135	56292
90	7233	56357
91	7333	56437
92	7419	56407
93	7518	56466
94	7613	56497
95	7714	56574
96	7813	56625
97	7920	56736
98	8021	56795
99	8115	56810
100	8221	56901
101	8315	56901
102	8408	56897
103	8504	56913
104	8605	56958
105	8660	56699
106	8744	56638
107	8833	56598
108	8883	56319
109	8978	56319
110	9064	56264
111	9153	56231
112	9243	56195
113	9334	56168
114	9419	56109
115	9509	56074
116	9592	55999
117	9673	55907
118	9769	55908
119	9858	55862
120	9944	55804
121	10035	55768
122	10113	55667
123	10202	55619
124	10281	55521
125	10370	55471
126	10461	55438
127	10555	55414
128	10648	55391
129	10736	55336
130	10826	55288
131	10919	55257
132	11003	55180
133	11087	55106
134	11170	55026
135	11271	55032
136	11365	55002
137	11456	54956
138	11543	54896
139	11626	54809
140	11716	54761
141	11809	54723
142	11912	54732
143	12001	54672
144	12090	54616
145	12187	54593
146	12280	54551
147	12386	54566
148	12475	54507
149	12555	54408
150	12645	54350
151	12736	54295
152	12831	54263
153	12919	54194
154	13004	54114
155	13087	54026
156	13172	53950
157	13253	53854
158	13336	53766
159	13430	53720
160	13516	53644
161	13601	53568
162	13703	53554
163	13795	53498
164	13878	53409
165	13958	53313
166	14043	53232
167	14125	53138
168	14217	53084
169	14302	53002
170	14386	52918
171	14470	52835
172	14557	52760
173	14650	52706
174	14741	52646
175	14832	52588
176	14920	52516
177	15006	52437
178	15088	52346
179	15167	52243
180	15254	52169
181	15332	52064
182	15418	51984
183	15496	51880
184	15576	51781
185	15660	51695
186	15747	51620
187	15838	51559
188	15932	51506
189	16018	51428
190	16122	51407
191	16223	51374
192	16308	51291
193	16390	51199
194	16467	51090
195	16547	50993
196	16631	50909
197	16711	50809
198	16797	50729
199	16881	50643
200	16962	50548
201	17044	50459
202	17128	50372
203	17218	50306
204	17307	50233
205	17396	50161
206	17484	50089
207	17569	50005
208	17648	49906
209	17727	49805
210	17813	49725
211	17902	49653
212	17998	49600
213	18088	49532
214	18187	49487
215	18284	49434
216	18373	49362
217	18452	49262
218	18529	49159
219	18619	49086
220	18705	49006
221	18799	48945
222	18881	48856
223	18964	48766
224	19052	48690
225	19137	48605
226	19223	48523
227	19305	48432
228	19384	48334
229	19467	48244
230	19546	48146
231	19628	48056
232	19709	47961
233	19796	47882
234	19880	47796
235	19964	47711
236	20045	47619
237	20125	47522
238	20220	47464
239	20301	47370
240	20381	47275
241	20457	47169
242	20540	47083
243	20630	47011
244	20713	46922
245	20800	46843
246	20893	46777
247	20972	46681
248	21056	46594
249	21138	46503
250	21224	46424
251	21311	46344
252	21397	46262
253	21486	46187
254	21568	46097
255	21649	46005
256	21731	45914
257	21819	45838
258	21898	45740
259	21992	45677
260	22066	45571
261	22147	45478
262	22233	45396
263	22311	45298
264	22392	45207
265	22482	45133
266	22564	45045
267	22651	44965
268	22733	44876
269	22825	44806
270	22902	44706
271	22992	44632
272	23107	44607
273	23213	44563
274	23329	44538
275	23456	44533
276	23566	44494
277	23726	44551
278	23913	44655
279	24088	44735
280	24248	44785
281	24389	44801
282	24528	44809
283	24654	44795
284	24797	44810
285	24918	44784
286	25051	44777
287	25202	44803
288	25345	44815
289	25484	44818
290	25621	44814
291	25779	44849
292	25927	44864
293	26115	44946
294	26316	45049
295	26486	45099
296	26600	45050
297	26701	44979
298	26807	44918
299	26908	44848
300	27000	44761
301	27100	44689
302	27208	44628
303	27296	44537
304	27388	44449
305	27502	44398
306	27598	44320
307	27686	44225
308	27783	44148
309	27891	44086
310	27994	44016
311	28086	43929
312	28186	43855
313	28276	43765
314	28381	43698
315	28479	43620
316	28577	43542
317	28665	43449
318	28757	43360
319	28862	43293
320	28978	43242
321	29065	43146
322	29181	43094
323	29281	43018
324	29381	42942
325	29497	42889
326	29605	42824
327	29696	42733
328	29820	42691
329	29921	42615
330	30011	42523
331	30101	42432
332	30211	42368
333	30311	42290
334	30400	42198
335	30489	42104
336	30593	42032
337	30701	41964
338	30799	41883
339	30891	41793
340	30990	41714
341	31088	41632
342	31193	41560
343	31282	41468
344	31378	41382
345	31464	41286
346	31553	41192
347	31643	41100
348	31731	41005
349	31834	40930
350	31921	40833
351	32017	40749
352	32109	40660
353	32208	40579
354	32297	40486
355	32393	40400
356	32478	40302
357	32567	40209
358	32662	40122
359	32749	40027
360	32842	39938
361	32927	39840
362	33024	39757
363	33113	39663
364	33206	39575
365	33294	39480
366	33379	39382
367	33481	39304
368	33574	39216
369	33671	39131
370	33770	39050
371	33866	38965
372	33953	38868
373	34036	38768
374	34126	38676
375	34221	38589
376	34307	38493
377	34399	38403
378	34577	38409
379	34746	38404
380	34872	38350
381	34983	38280
382	35105	38222
383	35215	38150
384	35317	38069
385	35430	38000
386	35589	37981
387	35726	37936
388	35835	37862
389	35963	37807
390	36077	37738
391	36198	37676
392	36281	37573
393	36384	37492
394	36500	37424
395	36606	37346
396	36711	37266
397	36816	37186
398	36906	37091
399	37022	37022
400	37127	36942
401	37236	36866
402	37337	36781
403	37467	36725
404	37575	36647
405	37688	36574
406	37835	36533
407	37989	36499
408	38109	36431
409	38261	36394
410	38499	36438
411	38688	36434
412	38819	36375
413	38930	36297
414	39048	36225
415	39228	36210
416	39407	36194
417	39532	36128
418	39659	36062
419	39775	35987
420	39877	35899
421	40003	35832
422	40140	35775
423	40277	35717
424	40497	35733
425	40639	35679
426	40765	35610
427	40887	35537
428	41002	35459
429	41125	35387
430	41242	35309
431	41370	35241
432	41487	35163
433	41608	35088
434	41729	35014
435	41839	34929
436	41945	34842
437	42057	34760
438	42181	34686
439	42331	34635
440	42489	34588
441	42607	34510
442	42719	34426
443	42823	34336
444	42935	34251
445	43052	34171
446	43162	34085
447	43306	34026
448	43415	33939
449	43536	33861
450	43652	33779
451	43788	33712
452	43897	33625
453	44002	33535
454	44127	33458
455	44258	33387
456	44388	33315
457	44507	33235
458	44627	33154
459	44744	33071
460	44889	33010
461	45006	32926
462	45141	32856
463	45302	32805
464	45424	32725
465	45537	32638
466	45658	32557
467	45778	32475
468	45890	32387
469	45999	32297
470	46121	32216
471	46237	32130
472	46353	32045
473	46454	31949
474	46572	31865
475	46685	31777
476	46797	31688
477	46917	31605
478	47060	31537
479	47180	31453
480	47294	31365
481	47411	31280
482	47520	31188
483	47630	31097
484	47747	31011
485	47859	30921
486	47962	30826
487	48076	30737
488	48190	30648
489	48310	30563
490	48427	30476
491	48553	30395
492	48658	30300
493	48775	30213
494	48916	30140
495	49035	30054
496	49153	29966
497	49279	29884
498	49402	29799
499	49520	29712
500	49636	29623
501	49758	29538
502	49869	29445
503	49994	29361
504	50112	29273
505	50228	29184
506	50333	29088
507	50445	28995
508	50545	28897
509	50663	28808
510	50782	28720
511	50884	28622
512	51012	28538
513	51124	28446
514	51231	28351
515	51342	28258
516	51452	28164
517	51562	28070
518	51664	27972
519	51780	27881
520	51879	27781
521	51986	27686
522	52091	27589
523	52193	27491
524	52318	27404
525	52424	27308
526	52533	27213
527	52645	27120
528	52752	27024
529	52868	26932
530	52969	26833
531	53073	26736
532	53183	26641
533	53287	26543
534	53392	26446
535	53501	26351
536	53613	26257
537	53727	26164
538	53839	26070
539	53946	25974
540	54058	25879
541	54166	25784
542	54265	25683
543	54354	25578
544	54442	25472
545	54535	25370
546	54630	25267
547	54727	25166
548	54810	25059
549	54899	24954
550	54983	24847
551	55075	24743
552	55168	24641
553	55259	24537
554	55359	24437
555	55470	24343
556	55581	24248
557	55675	24146
558	55764	24041
559	55852	23936
560	55933	23828
561	56030	23728
562	56123	23625
563	56211	23521
564	56307	23420
565	56394	23314
566	56483	23210
567	56579	23109
568	56676	23009
569	56770	22907
570	56854	22801
571	56941	22697
572	57035	22595
573	57122	22490
574	57208	22386
575	57292	22280
576	57380	22176
577	57471	22073
578	57559	21970
579	57652	21868
580	57734	21762
581	57819	21657
582	57916	21557
583	58004	21453
584	58096	21351
585	58181	21247
586	58270	21144
587	58355	21039
588	58457	20941
589	58547	20838
590	58645	20739
591	58738	20638
592	58825	20534
593	58913	20431
594	58997	20326
595	59086	20224
596	59175	20121
597	59267	20020
598	59359	19918
599	59456	19818
600	59551	19718
601	59646	19618
602	59736	19516
603	59818	19411
604	59913	19310
605	60000	19208
606	60083	19103
607	60171	19001
608	60260	18899
609	60351	18798
610	60442	18696
611	60537	18596
612	60633	18496
613	60724	18395
614	60818	18295
615	60903	18191
616	60999	18092
617	61090	17990
618	61182	17890
619	61274	17789
620	61362	17687
621	61453	17586
622	61543	17484
623	61634	17383
624	61724	17282
625	61815	17181
626	61908	17081
627	62006	16982
628	62097	16881
629	62189	16781
630	62285	16681
631	62377	16581
632	62463	16479
633	62557	16379
634	62659	16281
635	62752	16181
636	62844	16080
637	62936	15980
638	63030	15880
639	63124	15781
640	63205	15678
641	63295	15577
642	63381	15475
643	63481	15377
644	63570	15276
645	63665	15177
646	63768	15079
647	63865	14980
648	63959	14881
649	64045	14779
650	64135	14679
651	64223	14578
652	64319	14479
653	64410	14379
654	64488	14276
655	64588	14177
656	64718	14086
657	64895	14004
658	64982	13903
659	65068	13802
660	65168	13704
661	65259	13603
662	65353	13504
663	65449	13405
664	65537	13304
665	65631	13205
666	65716	13103
667	65805	13003
668	65904	12905
669	66000	12806
670	66119	12711
671	66206	12610
672	66300	12511
673	66400	12413
674	66492	12313
675	66588	12214
676	66681	12114
677	66771	12014
678	66861	11914
679	66955	11815
680	67042	11715
681	67127	11614
682	67217	11514
683	67312	11415
684	67406	11316
685	67484	11214
686	67593	11117
687	67685	11018
688	67778	10919
689	67861	10818
690	67954	10719
691	68038	10618
692	68128	10519
693	68222	10420
694	68328	10322
695	68431	10225
696	68537	10128
697	68656	10032
698	68761	9935
699	68873	9839
700	68977	9741
701	69092	9645
702	69203	9548
703	69309	9451
704	69416	9354
705	69527	9257
706	69637	9160
707	69740	9062
708	69836	8963
709	69937	8865
710	70039	8767
711	70139	8668
712	70246	8571
713	70349	8473
714	70455	8375
715	70555	8277
716	70655	8179
717	70754	8080
718	70853	7982
719	70962	7884
720	71063	7786
721	71166	7688
722	71271	7590
723	71375	7492
724	71476	7394
725	71594	7297
726	71699	7199
727	71798	7100
728	71902	7002
729	72003	6904
730	72105	6806
731	72203	6707
732	72296	6608
733	72399	6510
