iter	RMSE
0	35.5318174
1	35.00771515
2	34.30706746
3	33.48712387
4	33.13712303
5	32.47924396
6	32.14559399
7	31.6060427
8	31.37966106
9	30.96219026
10	30.67090685
11	30.49975992
12	30.06174145
13	29.73965728
14	29.48058448
15	29.10889153
16	28.84895871
17	28.62143962
18	28.27578463
19	27.92287835
20	27.76324852
21	27.57023323
22	27.29713244
23	27.09426926
24	26.9764216
25	26.79572477
26	26.69651754
27	26.56804576
28	26.44596061
29	26.34782035
30	26.25326917
31	26.19308167
32	26.08909804
33	25.98679478
34	25.90727525
35	25.80147621
36	25.72121318
37	25.66808119
38	25.57334853
39	25.51901451
40	25.40485708
41	25.39792532
42	25.34290737
43	25.25897395
44	25.18271661
45	25.14389337
46	25.09798299
47	25.05877808
48	25.02992473
49	25.02779303
50	24.97094994
51	24.93927874
52	24.89952072
53	24.8700327
54	24.83775689
55	24.80285915
56	24.78487036
57	24.74330956
58	24.72364218
59	24.69299818
60	24.69061516
61	24.68750639
62	24.65653687
63	24.63611033
64	24.60586983
65	24.57320318
66	24.55973992
67	24.50969917
68	24.45101052
69	24.42648728
70	24.40147012
71	24.38133486
72	24.34934774
73	24.33191354
74	24.3100554
75	24.28435479
76	24.28262732
77	24.26474182
78	24.23797844
79	24.21697786
80	24.19446964
81	24.16061081
82	24.14947218
83	24.07541279
84	24.05314148
85	24.02650202
86	24.02514271
87	23.99184957
88	23.97346403
89	23.97188841
90	23.95483128
91	23.94473071
92	23.90218875
93	23.89028037
94	23.88073666
95	23.82535959
96	23.82392611
97	23.80840412
98	23.73590125
99	23.72042247
100	23.70559455
101	23.68916792
102	23.65034121
103	23.63594041
104	23.63475822
105	23.63118564
106	23.59624625
107	23.5951442
108	23.57126368
109	23.564389
110	23.5459953
111	23.51585897
112	23.4956797
113	23.4565506
114	23.42741087
115	23.40806414
116	23.39219043
117	23.39186759
118	23.38077707
119	23.36394162
120	23.35919218
121	23.34298564
122	23.32396346
123	23.31142266
124	23.30318555
125	23.28501732
126	23.24670268
127	23.19388404
128	23.18844445
129	23.18519111
130	23.17154708
131	23.17005561
132	23.16672692
133	23.16288405
134	23.14242539
135	23.14217046
136	23.12922175
137	23.10260621
138	23.10163448
139	23.09194719
140	23.09103142
141	23.07421995
142	23.06394804
143	23.03335288
144	23.03033962
145	23.00847575
146	22.95662649
147	22.95306308
148	22.95010489
149	22.93059442
150	22.92767565
151	22.90800151
152	22.88505442
153	22.87429839
154	22.86254534
155	22.85093735
156	22.83324142
157	22.82027874
158	22.77832433
159	22.7684576
160	22.75770022
161	22.74393968
162	22.73394783
163	22.72746007
164	22.72197397
165	22.71289716
166	22.69588842
167	22.67003777
168	22.66746127
169	22.65278914
170	22.64499603
171	22.6442913
172	22.63417584
173	22.6340132
174	22.62543473
175	22.61579549
176	22.60235649
177	22.57290836
178	22.56490704
179	22.53123413
