iter	Passed	Remaining
0	20	4089
1	45	4483
2	76	5036
3	111	5458
4	137	5379
5	162	5243
6	192	5300
7	219	5258
8	240	5100
9	260	4955
10	285	4900
11	306	4806
12	330	4755
13	353	4696
14	385	4752
15	406	4671
16	428	4615
17	449	4542
18	473	4510
19	499	4492
20	521	4445
21	549	4442
22	568	4374
23	590	4329
24	613	4296
25	634	4243
26	659	4223
27	679	4173
28	698	4121
29	720	4084
30	744	4057
31	767	4027
32	794	4019
33	814	3978
34	835	3937
35	857	3906
36	879	3874
37	899	3836
38	923	3812
39	947	3789
40	970	3761
41	990	3725
42	1009	3686
43	1036	3675
44	1060	3652
45	1090	3650
46	1123	3657
47	1155	3657
48	1195	3684
49	1251	3754
50	1375	4017
51	1429	4067
52	1464	4060
53	1492	4036
54	1524	4018
55	1555	3999
56	1584	3976
57	1613	3949
58	1641	3923
59	1666	3887
60	1695	3863
61	1729	3849
62	1767	3842
63	1790	3805
64	1819	3778
65	1854	3764
66	1888	3748
67	1916	3720
68	1948	3699
69	1981	3680
70	2017	3665
71	2051	3646
72	2080	3619
73	2108	3590
74	2139	3565
75	2165	3533
76	2192	3501
77	2217	3468
78	2248	3443
79	2277	3416
80	2302	3382
81	2327	3349
82	2355	3320
83	2376	3281
84	2396	3241
85	2419	3206
86	2442	3172
87	2463	3134
88	2484	3098
89	2506	3063
90	2533	3034
91	2554	2999
92	2576	2964
93	2603	2936
94	2626	2902
95	2654	2875
96	2676	2842
97	2702	2812
98	2725	2780
99	2754	2754
100	2781	2725
101	2803	2693
102	2827	2662
103	2852	2633
104	2876	2602
105	2900	2572
106	2931	2547
107	2954	2517
108	2981	2489
109	3004	2458
110	3030	2430
111	3057	2402
112	3083	2373
113	3109	2346
114	3132	2315
115	3156	2285
116	3179	2255
117	3202	2225
118	3238	2204
119	3262	2174
120	3288	2147
121	3320	2123
122	3342	2092
123	3363	2061
124	3387	2032
125	3409	2002
126	3430	1971
127	3455	1943
128	3476	1913
129	3496	1882
130	3520	1854
131	3541	1824
132	3566	1796
133	3588	1767
134	3613	1739
135	3635	1710
136	3657	1682
137	3686	1656
138	3738	1640
139	3773	1617
140	3802	1591
141	3826	1562
142	3852	1535
143	3874	1506
144	3899	1479
145	3921	1450
146	3948	1423
147	3970	1394
148	3999	1368
149	4025	1341
150	4054	1315
151	4079	1288
152	4110	1262
153	4134	1235
154	4162	1208
155	4190	1181
156	4217	1155
157	4259	1132
158	4290	1106
159	4312	1078
160	4357	1055
161	4393	1030
162	4426	1004
163	4456	978
164	4491	952
165	4523	926
166	4550	899
167	4575	871
168	4601	844
169	4631	817
170	4654	789
171	4680	761
172	4720	736
173	4746	709
174	4768	681
175	4795	653
176	4819	626
177	4844	598
178	4866	570
179	4896	544
180	4920	516
181	4945	489
182	4968	461
183	4994	434
184	5017	406
185	5049	380
186	5078	353
187	5108	326
188	5130	298
189	5156	271
190	5182	244
191	5210	217
192	5236	189
193	5259	162
194	5297	135
195	5327	108
196	5356	81
197	5379	54
198	5412	27
199	5443	0
